Year,Gold,Silver
1965,72,
1966,84,
1967,103,
1968,162,
1969,176,
1970,184,
1971,193,
1972,202,
1973,279,
1974,506,
1975,540,
1976,432,
1977,486,
1978,685,
1979,937,
1980,1330,
1981,1800,2715
1982,1645,2720
1983,1800,3105
1984,1970,3570
1985,2130,3955
1986,2140,4015
1987,2570,4794
1988,3130,6066
1989,3140,6755
1990,3200,6463
1991,3466,6646
1992,4334,8040
1993,4140,5489
1994,4598,7124
1995,4680,6335
1996,5160,7346
1997,4725,7345
1998,4045,8560
1999,4234,7615
2000,4400,7900
2001,4300,7215
2002,4990,7875
2003,5600,7695
2004,5850,11770
2005,7000,10675
2006,8400,17405
2007,10800,19520
2008,12500,23625
2009,14500,22165
2010,18500,27255
2011,26400,56900
2012,31050,56290
2013,29600,54030
2014,28006,43070
2015,26343,37825
2016,28623,36990
2017,29667,37825
2018,31438,41400
2019,35220,40600
2020,48651,63435
2021,50045,62572
2022,52950,55100
