Year,Gold,Silver,Truth
1965,72,,0
1966,84,,0
1967,103,,0
1968,162,,0
1969,176,,0
1970,184,,0
1971,193,,0
1972,202,,0
1973,279,,0
1974,506,,0
1975,540,,0
1976,432,,0
1977,486,,0
1978,685,,0
1979,937,,0
1980,1330,,0
1981,1800,2715,0
1982,1645,2720,0
1983,1800,3105,0
1984,1970,3570,0
1985,2130,3955,0
1986,2140,4015,1
1987,2570,4794,1
1988,3130,6066,1
1989,3140,6755,1
1990,3200,6463,1
1991,3466,6646,1
1992,4334,8040,1
1993,4140,5489,1
1994,4598,7124,1
1995,4680,6335,1
1996,5160,7346,1
1997,4725,7345,1
1998,4045,8560,1
1999,4234,7615,1
2000,4400,7900,1
2001,4300,7215,1
2002,4990,7875,1
2003,5600,7695,1
2004,5850,11770,1
2005,7000,10675,1
2006,8400,17405,1
2007,10800,19520,1
2008,12500,23625,1
2009,14500,22165,1
2010,18500,27255,1
2011,26400,56900,1
2012,31050,56290,1
2013,29600,54030,1
2014,28006,43070,1
2015,26343,37825,1
2016,28623,36990,1
2017,29667,37825,1
2018,31438,41400,1
2019,35220,40600,1
2020,48651,63435,1
2021,50045,62572,1
2022,52950,55100,1
